*Vertices      79
     44 "Ismail"    0.1701    0.4482
     45 "Iwan Dharmawan"    0.1702    0.4569
     46 "Jabir"    0.1658    0.4534
     47 "Joko Triharmanto"    0.1886    0.4558
     48 "Joni Achmad Fauzan"    0.1765    0.4511
     49 "Marwan"    0.8500    0.4643
     50 "Misno"    0.8306    0.3598
     51 "Mohamed Ihsan"    0.1623    0.4532
     52 "Mohamed Rais"    0.1664    0.4506
     53 "Mohamed Saifuddin (alias Faiz)"    0.1810    0.4502
     54 "Muchtar"    0.1868    0.4453
     55 "Munfiatun"    0.1576    0.4491
     56 "Mus'ab Sahidi"    0.1843    0.4565
     57 "Muzayin Abdul Wahab"    0.1949    0.4484
     58 "Nasir Abas"    0.6167    0.1500
     59 "Noordin Mohammed Top"    0.1711    0.4510
     60 "Purnama Putra"    0.1804    0.4522
     61 "Qotadah"    0.1667    0.4401
     62 "Rosihin Noor"    0.1772    0.4686
     63 "Said Sungkar"    0.1569    0.4480
     64 "Salik Firdaus"    0.1589    0.4596
     65 "Salman"    0.7614    0.2541
     66 "Saptono"    0.1779    0.4621
     67 "Sardona Siliwangi"    0.1669    0.4558
     68 "Son Hadi"    0.1719    0.4465
     69 "Subur Sugiarto"    0.1536    0.4636
     70 "Suramto"    0.1663    0.4551
     71 "Tohir"    0.1689    0.4512
     72 "Toni Togar"    0.1718    0.4445
     73 "Ubeid"    0.1720    0.4537
     74 "Umar"    0.1639    0.4601
     75 "Umar Patek"    0.1838    0.4438
     76 "Umar Wayan "    0.1894    0.4443
     77 "Urwah"    0.1702    0.4594
     78 "Usman bin Sef"    0.1734    0.4445
     79 "Zulkarnaen"    0.1757    0.4482
*Arcs
      1     16    1.0000
      2      5    1.0000
      2      6    1.0000
      2     22    1.0000
      2     24    1.0000
      2     46    1.0000
      2     51    1.0000
      2     52    1.0000
      2     67    1.0000
      2     70    1.0000
      2     71    1.0000
      2     73    1.0000
      3      6    1.0000
      3     13    1.0000
      4     13    1.0000
      4     21    1.0000
      4     29    1.0000
      4     35    1.0000
      4     42    1.0000
      4     53    1.0000
      4     57    1.0000
      5      2    1.0000
      5      6    1.0000
      5      7    1.0000
      5     11    1.0000
      5     13    1.0000
      5     17    1.0000
      5     22    1.0000
      5     23    1.0000
      5     24    1.0000
      5     28    1.0000
      5     31    1.0000
      5     33    1.0000
      5     38    1.0000
      5     40    1.0000
      5     44    1.0000
      5     46    1.0000
      5     48    1.0000
      5     51    1.0000
      5     52    1.0000
      5     59    1.0000
      5     63    1.0000
      5     67    1.0000
      5     68    1.0000
      5     70    1.0000
      5     71    1.0000
      5     72    1.0000
      5     73    1.0000
      5     79    1.0000
      6      2    1.0000
      6      3    1.0000
      6      5    1.0000
      6     11    1.0000
      6     13    1.0000
      6     22    1.0000
      6     24    1.0000
      6     31    1.0000
      6     46    1.0000
      6     48    1.0000
      6     51    1.0000
      6     52    1.0000
      6     67    1.0000
      6     68    1.0000
      6     70    1.0000
      6     71    1.0000
      6     72    1.0000
      6     73    1.0000
      6     79    1.0000
      7      5    1.0000
      7     17    1.0000
      7     23    1.0000
      7     28    1.0000
      7     31    1.0000
      7     33    1.0000
      7     40    1.0000
      7     44    1.0000
      7     52    1.0000
      7     59    1.0000
      7     61    1.0000
      7     70    1.0000
      8     45    1.0000
      8     55    1.0000
      8     59    1.0000
      8     67    1.0000
      8     68    1.0000
      8     70    1.0000
      8     73    1.0000
      8     77    1.0000
      9     16    1.0000
     10     11    1.0000
     10     55    1.0000
     10     61    1.0000
     10     68    1.0000
     10     78    1.0000
     11      5    1.0000
     11      6    1.0000
     11     10    1.0000
     11     33    1.0000
     11     38    1.0000
     11     55    1.0000
     11     59    1.0000
     11     61    1.0000
     11     78    1.0000
     12     30    1.0000
     12     45    1.0000
     12     62    1.0000
     13      3    1.0000
     13      4    1.0000
     13      5    1.0000
     13      6    1.0000
     13     24    1.0000
     13     31    1.0000
     13     39    1.0000
     13     45    1.0000
     13     46    1.0000
     13     48    1.0000
     13     53    1.0000
     13     56    1.0000
     13     60    1.0000
     13     73    1.0000
     16      1    1.0000
     16      9    1.0000
     16     29    1.0000
     16     78    1.0000
     17      5    1.0000
     17      7    1.0000
     17     23    1.0000
     17     28    1.0000
     17     31    1.0000
     17     33    1.0000
     17     40    1.0000
     17     44    1.0000
     17     52    1.0000
     17     59    1.0000
     17     71    1.0000
     17     79    1.0000
     18     59    1.0000
     18     69    1.0000
     19     37    1.0000
     19     45    1.0000
     20     57    1.0000
     21      4    1.0000
     21     53    1.0000
     21     54    1.0000
     22      2    1.0000
     22      5    1.0000
     22      6    1.0000
     22     24    1.0000
     22     44    1.0000
     22     46    1.0000
     22     51    1.0000
     22     52    1.0000
     22     59    1.0000
     22     67    1.0000
     22     68    1.0000
     22     70    1.0000
     22     71    1.0000
     22     73    1.0000
     23      5    1.0000
     23      7    1.0000
     23     17    1.0000
     23     28    1.0000
     23     31    1.0000
     23     33    1.0000
     23     39    1.0000
     23     40    1.0000
     23     44    1.0000
     23     45    1.0000
     23     46    1.0000
     23     52    1.0000
     23     59    1.0000
     23     71    1.0000
     23     79    1.0000
     24      2    1.0000
     24      5    1.0000
     24      6    1.0000
     24     13    1.0000
     24     22    1.0000
     24     46    1.0000
     24     51    1.0000
     24     52    1.0000
     24     59    1.0000
     24     67    1.0000
     24     70    1.0000
     24     71    1.0000
     24     73    1.0000
     25     68    1.0000
     26     61    1.0000
     28      5    1.0000
     28      7    1.0000
     28     17    1.0000
     28     23    1.0000
     28     31    1.0000
     28     33    1.0000
     28     34    1.0000
     28     40    1.0000
     28     44    1.0000
     28     52    1.0000
     28     59    1.0000
     28     71    1.0000
     28     75    1.0000
     28     79    1.0000
     29      4    1.0000
     29     16    1.0000
     29     75    1.0000
     30     12    1.0000
     30     62    1.0000
     31      5    1.0000
     31      6    1.0000
     31      7    1.0000
     31     13    1.0000
     31     17    1.0000
     31     23    1.0000
     31     28    1.0000
     31     33    1.0000
     31     40    1.0000
     31     44    1.0000
     31     46    1.0000
     31     51    1.0000
     31     52    1.0000
     31     59    1.0000
     31     68    1.0000
     31     71    1.0000
     31     72    1.0000
     31     79    1.0000
     32     45    1.0000
     33      5    1.0000
     33      7    1.0000
     33     11    1.0000
     33     17    1.0000
     33     23    1.0000
     33     28    1.0000
     33     31    1.0000
     33     72    1.0000
     34     28    1.0000
     34     47    1.0000
     34     60    1.0000
     35      4    1.0000
     37     19    1.0000
     37     45    1.0000
     38      5    1.0000
     38     11    1.0000
     39     13    1.0000
     39     23    1.0000
     39     43    1.0000
     39     46    1.0000
     39     59    1.0000
     39     63    1.0000
     40      5    1.0000
     40      7    1.0000
     40     17    1.0000
     40     23    1.0000
     40     28    1.0000
     40     31    1.0000
     40     43    1.0000
     40     44    1.0000
     40     52    1.0000
     40     59    1.0000
     40     71    1.0000
     40     79    1.0000
     42      4    1.0000
     43     39    1.0000
     43     40    1.0000
     43     45    1.0000
     44      5    1.0000
     44      7    1.0000
     44     17    1.0000
     44     22    1.0000
     44     23    1.0000
     44     28    1.0000
     44     31    1.0000
     44     40    1.0000
     44     52    1.0000
     44     59    1.0000
     44     71    1.0000
     44     79    1.0000
     45      8    1.0000
     45     12    1.0000
     45     13    1.0000
     45     19    1.0000
     45     23    1.0000
     45     32    1.0000
     45     37    1.0000
     45     43    1.0000
     45     59    1.0000
     45     66    1.0000
     45     67    1.0000
     45     70    1.0000
     45     73    1.0000
     45     77    1.0000
     46      2    1.0000
     46      5    1.0000
     46      6    1.0000
     46     13    1.0000
     46     22    1.0000
     46     23    1.0000
     46     24    1.0000
     46     31    1.0000
     46     39    1.0000
     46     51    1.0000
     46     52    1.0000
     46     59    1.0000
     46     64    1.0000
     46     67    1.0000
     46     70    1.0000
     46     71    1.0000
     46     73    1.0000
     47     34    1.0000
     47     60    1.0000
     48      5    1.0000
     48      6    1.0000
     48     13    1.0000
     48     68    1.0000
     51      2    1.0000
     51      5    1.0000
     51      6    1.0000
     51     22    1.0000
     51     24    1.0000
     51     31    1.0000
     51     46    1.0000
     51     52    1.0000
     51     67    1.0000
     51     68    1.0000
     51     70    1.0000
     51     71    1.0000
     51     72    1.0000
     51     73    1.0000
     52      2    1.0000
     52      5    1.0000
     52      6    1.0000
     52      7    1.0000
     52     17    1.0000
     52     22    1.0000
     52     23    1.0000
     52     24    1.0000
     52     28    1.0000
     52     31    1.0000
     52     40    1.0000
     52     44    1.0000
     52     46    1.0000
     52     51    1.0000
     52     59    1.0000
     52     67    1.0000
     52     68    1.0000
     52     70    1.0000
     52     71    1.0000
     52     73    1.0000
     52     79    1.0000
     53      4    1.0000
     53     13    1.0000
     53     21    1.0000
     53     59    1.0000
     53     60    1.0000
     53     75    1.0000
     54     21    1.0000
     54     76    1.0000
     54     79    1.0000
     55      8    1.0000
     55     10    1.0000
     55     11    1.0000
     55     59    1.0000
     56     13    1.0000
     57      4    1.0000
     57     20    1.0000
     59      5    1.0000
     59      7    1.0000
     59      8    1.0000
     59     11    1.0000
     59     17    1.0000
     59     18    1.0000
     59     22    1.0000
     59     23    1.0000
     59     24    1.0000
     59     28    1.0000
     59     31    1.0000
     59     39    1.0000
     59     40    1.0000
     59     44    1.0000
     59     45    1.0000
     59     46    1.0000
     59     52    1.0000
     59     53    1.0000
     59     55    1.0000
     59     60    1.0000
     59     71    1.0000
     59     78    1.0000
     60     13    1.0000
     60     34    1.0000
     60     47    1.0000
     60     53    1.0000
     60     59    1.0000
     61      7    1.0000
     61     10    1.0000
     61     11    1.0000
     61     26    1.0000
     61     78    1.0000
     62     12    1.0000
     62     30    1.0000
     63      5    1.0000
     63     39    1.0000
     64     46    1.0000
     66     45    1.0000
     67      2    1.0000
     67      5    1.0000
     67      6    1.0000
     67      8    1.0000
     67     22    1.0000
     67     24    1.0000
     67     45    1.0000
     67     46    1.0000
     67     51    1.0000
     67     52    1.0000
     67     70    1.0000
     67     71    1.0000
     67     73    1.0000
     67     77    1.0000
     68      5    1.0000
     68      6    1.0000
     68      8    1.0000
     68     10    1.0000
     68     22    1.0000
     68     25    1.0000
     68     31    1.0000
     68     48    1.0000
     68     51    1.0000
     68     52    1.0000
     68     71    1.0000
     68     72    1.0000
     68     78    1.0000
     69     18    1.0000
     70      2    1.0000
     70      5    1.0000
     70      6    1.0000
     70      7    1.0000
     70      8    1.0000
     70     22    1.0000
     70     24    1.0000
     70     45    1.0000
     70     46    1.0000
     70     51    1.0000
     70     52    1.0000
     70     67    1.0000
     70     71    1.0000
     70     73    1.0000
     70     77    1.0000
     71      2    1.0000
     71      5    1.0000
     71      6    1.0000
     71     17    1.0000
     71     22    1.0000
     71     23    1.0000
     71     24    1.0000
     71     28    1.0000
     71     31    1.0000
     71     40    1.0000
     71     44    1.0000
     71     46    1.0000
     71     51    1.0000
     71     52    1.0000
     71     59    1.0000
     71     67    1.0000
     71     68    1.0000
     71     70    1.0000
     71     72    1.0000
     71     73    1.0000
     72      5    1.0000
     72      6    1.0000
     72     31    1.0000
     72     33    1.0000
     72     51    1.0000
     72     68    1.0000
     72     71    1.0000
     73      2    1.0000
     73      5    1.0000
     73      6    1.0000
     73      8    1.0000
     73     13    1.0000
     73     22    1.0000
     73     24    1.0000
     73     45    1.0000
     73     46    1.0000
     73     51    1.0000
     73     52    1.0000
     73     67    1.0000
     73     70    1.0000
     73     71    1.0000
     73     74    1.0000
     73     77    1.0000
     73     78    1.0000
     74     73    1.0000
     75     28    1.0000
     75     29    1.0000
     75     53    1.0000
     76     54    1.0000
     76     79    1.0000
     77      8    1.0000
     77     45    1.0000
     77     67    1.0000
     77     70    1.0000
     77     73    1.0000
     78     10    1.0000
     78     11    1.0000
     78     16    1.0000
     78     59    1.0000
     78     61    1.0000
     78     68    1.0000
     78     73    1.0000
     79      5    1.0000
     79      6    1.0000
     79     17    1.0000
     79     23    1.0000
     79     28    1.0000
     79     31    1.0000
     79     40    1.0000
     79     44    1.0000
     79     52    1.0000
     79     54    1.0000
     79     76    1.0000
